threshold,f1,precision,recall,accuracy,tp,fp,tn,fn
0.158,0.7987616099071208,0.6649484536082474,1.0,0.748062015503876,258,130,128,0
0.159,0.7962962962962964,0.6615384615384615,1.0,0.7441860465116279,258,132,126,0
0.16,0.7914110429447853,0.6548223350253807,1.0,0.7364341085271318,258,136,122,0
0.161,0.7889908256880734,0.6515151515151515,1.0,0.7325581395348837,258,138,120,0
0.162,0.7877862595419848,0.6498740554156172,1.0,0.7306201550387597,258,139,119,0
0.163,0.7877862595419848,0.6498740554156172,1.0,0.7306201550387597,258,139,119,0
0.164,0.7877862595419848,0.6498740554156172,1.0,0.7306201550387597,258,139,119,0
0.165,0.7865853658536586,0.6482412060301508,1.0,0.7286821705426356,258,140,118,0
0.166,0.7865853658536586,0.6482412060301508,1.0,0.7286821705426356,258,140,118,0
0.167,0.7865853658536586,0.6482412060301508,1.0,0.7286821705426356,258,140,118,0
0.168,0.78419452887538,0.645,1.0,0.7248062015503876,258,142,116,0
0.169,0.78419452887538,0.645,1.0,0.7248062015503876,258,142,116,0
0.17,0.7830045523520485,0.6433915211970075,1.0,0.7228682170542635,258,143,115,0
0.171,0.7806354009077157,0.6401985111662531,1.0,0.7189922480620154,258,145,113,0
0.172,0.7782805429864253,0.6370370370370371,1.0,0.7151162790697675,258,147,111,0
0.173,0.7771084337349398,0.6354679802955665,1.0,0.7131782945736435,258,148,110,0
0.174,0.7771084337349398,0.6354679802955665,1.0,0.7131782945736435,258,148,110,0
0.175,0.7759398496240602,0.6339066339066339,1.0,0.7112403100775194,258,149,109,0
0.176,0.7747747747747747,0.6323529411764706,1.0,0.7093023255813954,258,150,108,0
0.177,0.7724550898203593,0.6292682926829268,1.0,0.7054263565891473,258,152,106,0
0.178,0.7713004484304933,0.6277372262773723,1.0,0.7034883720930233,258,153,105,0
0.179,0.7713004484304933,0.6277372262773723,1.0,0.7034883720930233,258,153,105,0
0.18,0.7701492537313434,0.6262135922330098,1.0,0.7015503875968992,258,154,104,0
0.181,0.7701492537313434,0.6262135922330098,1.0,0.7015503875968992,258,154,104,0
0.182,0.7701492537313434,0.6262135922330098,1.0,0.7015503875968992,258,154,104,0
0.183,0.7690014903129657,0.6246973365617433,1.0,0.6996124031007752,258,155,103,0
0.184,0.7667161961367013,0.6216867469879518,1.0,0.6957364341085271,258,157,101,0
0.185,0.7655786350148368,0.6201923076923077,1.0,0.6937984496124031,258,158,100,0
0.186,0.7644444444444444,0.6187050359712231,1.0,0.6918604651162791,258,159,99,0
0.187,0.7633136094674556,0.6172248803827751,1.0,0.689922480620155,258,160,98,0
0.188,0.7633136094674556,0.6172248803827751,1.0,0.689922480620155,258,160,98,0
0.189,0.7621861152141801,0.6157517899761337,1.0,0.687984496124031,258,161,97,0
0.19,0.7621861152141801,0.6157517899761337,1.0,0.687984496124031,258,161,97,0
0.191,0.7599410898379971,0.6128266033254157,1.0,0.6841085271317829,258,163,95,0
0.192,0.7565982404692082,0.6084905660377359,1.0,0.6782945736434108,258,166,92,0
